station_origin,station_destination,flows,population,jobs,distance
Tooting Bec,Brixton,33,6734,5084,6581.915166617036
Tooting Bec,Bromley-by-Bow,2,6734,1613,16641.82776038535
Tooting Bec,Burnt Oak,0,6734,649,25720.15945380412
Tooting Bec,Caledonian Road,9,6734,1803,15136.499589817668
Tooting Bec,Camden Town,35,6734,6348,14016.920481565454
Tooting Bec,Canada Water,6,6734,20443,12447.005715726966
Tooting Bec,Canary Wharf,206,6734,58772,15048.871992219581
Tooting Bec,Canning Town,18,6734,15428,17691.610538626082
Tooting Bec,Cannon Street,7,6734,4698,10585.703343983922
Tooting Bec,Canons Park,0,6734,526,29378.082011178256
Tooting Bec,Chalk Farm,2,6734,1329,15010.697628572138
Tooting Bec,Chancery Lane,101,6734,15391,12090.347916836407
Tooting Bec,Charing Cross,63,6734,7016,10064.317517209918
Tooting Bec,Chiswick Park,2,6734,1517,18230.835666210238
Tooting Bec,Clapham Common,58,6734,2020,3400.1182551617308
Tooting Bec,Clapham North,57,6734,1238,4042.8757465401322
Tooting Bec,Clapham South,20,6734,1513,2147.8000224269085
Tooting Bec,Cockfosters,0,6734,262,29608.309664894638
Tooting Bec,Colindale,7,6734,2081,24413.737404110423
Tooting Bec,Colliers Wood,32,6734,865,2355.381126131929
Tooting Bec,Covent Garden,2,6734,4355,10891.923633136834
Tooting Bec,Dagenham East,0,6734,649,29829.409145477977
Tooting Bec,Dagenham Heathway,0,6734,1108,28550.18135642844
Tooting Bec,Debden,1,6734,865,32498.668177089254
Tooting Bec,Dollis Hill,0,6734,847,20458.15739168422
Tooting Bec,Ealing Broadway,6,6734,4846,22094.92482063025
Tooting Bec,Ealing Common,0,6734,915,20529.627737675954
Tooting Bec,Earl's Court,7,6734,6613,12727.675817154864
Tooting Bec,East Acton,3,6734,1505,18530.7827407647
Tooting Bec,East Finchley,2,6734,1253,20392.24869880304
Tooting Bec,East Ham,4,6734,2062,21405.233266631072
Tooting Bec,Eastcote,0,6734,364,32403.344202658103
Tooting Bec,Edgware,1,6734,772,27238.289132667764
Tooting Bec,Edgware Road,22,6734,6868,13755.837068219898
Tooting Bec,Elephant & Castle,88,6734,6427,8033.928237279683
Tooting Bec,Embankment,139,6734,10220,9723.986696751146
Tooting Bec,Epping,0,6734,498,38446.263022632964
Tooting Bec,Euston,87,6734,16800,12643.321671392468
Tooting Bec,Fairlop,0,6734,182,30554.162316308277
Tooting Bec,Farringdon,95,6734,25592,12201.418399256489
Tooting Bec,Finchley Central,6,6734,1921,22762.805244079704
Tooting Bec,Finchley Road,2,6734,3417,16255.633948070248
Tooting Bec,Finsbury Park,19,6734,6769,17191.258861910672
Tooting Bec,Fulham Broadway,3,6734,4200,14237.826885326747
Tooting Bec,Gants Hill,1,6734,601,25897.120937736145
Tooting Bec,Gloucester Road,19,6734,5194,11817.554603305778
Tooting Bec,Golders Green,4,6734,1871,19612.52757933431
Tooting Bec,Goodge Street,70,6734,6457,11756.805074614176
Tooting Bec,Green Park,173,6734,26754,9936.839547837737
Tooting Bec,Greenford,1,6734,1157,25991.915741760622
Tooting Bec,Gunnersbury,11,6734,4775,18827.78068310225
Tooting Bec,Hainault,0,6734,356,31432.8458824517
Tooting Bec,Hammersmith,57,6734,18250,15126.305968437617
Tooting Bec,Hampstead,3,6734,2010,17226.801672152927
Tooting Bec,Hanger Lane,6,6734,1493,22165.595405774424
Tooting Bec,Harlesden,2,6734,1668,20326.63573476646
Tooting Bec,Harrow & Wealdstone,0,6734,1335,28994.390086691466
Tooting Bec,Harrow-on-the-Hill,2,6734,3019,27978.00869797638
Tooting Bec,Heathrow Terminal 4,0,6734,693,33447.62495249953
Tooting Bec,Heathrow Terminal 5,2,6734,975,36439.32168028825
Tooting Bec,Heathrow Terminals 2 & 3,2,6734,2406,33984.04320465192
Tooting Bec,Hendon Central,3,6734,1878,22261.22402512729
Tooting Bec,High Barnet,1,6734,953,29015.80273703091
Tooting Bec,High Street Kensington,20,6734,5427,12822.673389529426
Tooting Bec,Highbury & Islington,38,6734,25385,15683.652234073863
Tooting Bec,Highgate,2,6734,856,18643.22804059297
Tooting Bec,Holborn,47,6734,22346,11524.864204459665
Tooting Bec,Holland Park,8,6734,2063,14483.052387493171
Tooting Bec,Holloway Road,2,6734,1696,15751.797032795826
Tooting Bec,Hounslow Central,0,6734,708,27288.734905617548
Tooting Bec,Hounslow East,0,6734,843,26543.050522196627
Tooting Bec,Hounslow West,1,6734,401,28767.818597613918
Tooting Bec,Hyde Park Corner,3,6734,2410,10716.728848104556
Tooting Bec,Kennington,17,6734,1161,7194.3598480548435
Tooting Bec,Kensal Green,0,6734,472,19310.944989730648
Tooting Bec,Kentish Town,13,6734,3404,15294.886124334465
Tooting Bec,Kew Gardens,0,6734,792,20608.061602050242
Tooting Bec,Kilburn,1,6734,1953,18026.990080054245
Tooting Bec,Kilburn Park,4,6734,823,17116.48837776897
Tooting Bec,King's Cross St. Pancras,149,6734,33330,13101.799224417191
Tooting Bec,Kingsbury,0,6734,1018,26438.779433617463
Tooting Bec,Knightsbridge,17,6734,6821,11300.682436404526
Tooting Bec,Ladbroke Grove,1,6734,2131,17257.10903125527
Tooting Bec,Lambeth North,6,6734,1319,9029.64851958328
Tooting Bec,Lancaster Gate,2,6734,1820,12987.790280527075
Tooting Bec,Leicester Square,110,6734,8847,10526.392334054559
Tooting Bec,Leyton,2,6734,1447,19927.69750804483
Tooting Bec,Leytonstone,4,6734,1844,21591.54106833631
Tooting Bec,Liverpool Street,52,6734,61122,11097.893311639526
Tooting Bec,London Bridge,266,6734,29930,9369.662256744381
Tooting Bec,Maida Vale,2,6734,949,16264.706854841283
Tooting Bec,Manor House,4,6734,1311,18307.372489131078
Tooting Bec,Mansion House,19,6734,7815,10833.88205013482
Tooting Bec,Marble Arch,15,6734,6145,11769.18809576663
Tooting Bec,Marylebone,22,6734,4250,13259.295026549535
Tooting Bec,Mile End,7,6734,3759,15008.125685127494
Tooting Bec,Mill Hill East,1,6734,681,24285.007686630317
Tooting Bec,Moorgate,434,6734,24574,11033.220089319764
Tooting Bec,Morden,71,6734,1447,4967.0955726836455
Tooting Bec,Mornington Crescent,22,6734,2927,13426.71026874954
Tooting Bec,Neasden,2,6734,732,21243.740405439003
Tooting Bec,Newbury Park,0,6734,559,28254.87805864014
Tooting Bec,North Acton,6,6734,3168,19711.302057107016
Tooting Bec,North Greenwich,14,6734,6276,16878.65528324909
Tooting Bec,North Wembley,0,6734,365,24887.8394208814
Tooting Bec,Northfields,1,6734,864,22083.889413248053
Tooting Bec,Northolt,1,6734,663,27810.382002107806
Tooting Bec,Northwick Park,2,6734,1713,26674.876840551704
Tooting Bec,Northwood,0,6734,1018,35220.71030775842
Tooting Bec,Notting Hill Gate,17,6734,5490,13783.31892452357
Tooting Bec,Old Street,258,6734,15897,11886.739808064753
Tooting Bec,Oval,67,6734,2544,6279.202163716327
Tooting Bec,Oxford Circus,310,6734,44368,10947.406023095244
Tooting Bec,Paddington,60,6734,20198,14544.468345065665
Tooting Bec,Park Royal,2,6734,1552,22553.694642437407
Tooting Bec,Parsons Green,1,6734,2711,14940.165216754853
Tooting Bec,Perivale,2,6734,532,24395.48062057629
Tooting Bec,Piccadilly Circus,13,6734,13641,10636.125956958385
Tooting Bec,Pimlico,80,6734,5585,7327.36158813226
Tooting Bec,Pinner,0,6734,292,31475.39283134917
Tooting Bec,Plaistow,1,6734,1049,18783.908796618707
Tooting Bec,Preston Road,0,6734,411,24941.743041329588
Tooting Bec,Putney Bridge,2,6734,2494,15934.627566071375
Tooting Bec,Queen's Park,4,6734,2167,17926.31932866108
Tooting Bec,Queensbury,0,6734,439,27684.774667981117
Tooting Bec,Queensway,4,6734,1882,13845.939901988748
Tooting Bec,Ravenscourt Park,8,6734,1895,15966.408886692045
Tooting Bec,Rayners Lane,0,6734,426,30583.989824740675
Tooting Bec,Redbridge,0,6734,198,24439.37717610912
Tooting Bec,Regent's Park,16,6734,3364,11925.456651120327
Tooting Bec,Richmond,0,6734,5397,22776.224866129876
